iso,year,gdp_current_usd,gdp_growth_annual,inflation_annual_cpi,credit_private_gdp,broad_money_gdp,current_account_gdp,trade_percent_gdp,exchange_rate_usd,unemployment_rate,gov_debt_percent_gdp,gov_revenue_percent_gdp
DEU,2020,3940142541354.1,-4.09513749064689,0.144877925813982,83.8361036867829,,6.34985102790796,72.9932572283324,0.875506396987998,3.881,,28.5741617917336
DEU,2019,3957208055215.68,0.987893349167578,1.44565976888253,78.0186314669805,,7.88005874480123,79.1337471144706,0.893276257067409,3.163,,28.6669703073372
DEU,2018,4052008447223.53,1.11644310926225,1.73216879766942,76.6835998636018,,8.44474369079798,79.227659692288,0.846772667108111,3.384,,28.3846138152737
DEU,2017,3763092263752.95,2.71602451931592,1.50949485109628,76.104751869497,,8.08358573755333,77.5666369468435,0.885205508269372,3.781,,28.008141430334
DEU,2016,3537784107980.55,2.29471067684281,0.491747008445174,75.9672852311091,,8.89985353214631,75.9845875141969,0.903421436257263,4.104,,27.8597732869019
DEU,2015,3423568450957.03,1.65271977174628,0.514426137125456,76.6157535689401,,8.10033539639847,77.791356764377,0.901296423367096,4.612,,27.956605577431
DEU,2014,3965800686309.79,2.16949892879079,0.906794000434246,77.7737951272457,,7.19249005241928,76.8303312709159,0.752728196932603,4.979,,27.9498990007269
DEU,2013,3808086291482.36,0.386224576109953,1.50472330251876,80.6622652827767,,6.72723104677662,77.5643815741748,0.752945122701996,5.316,,27.9915808710694
DEU,2012,3597896500945.31,0.474291305855544,2.00848884782956,82.1589927081325,,7.19271816687107,79.3004877909427,0.778338120416812,5.372,,27.9934508888079
DEU,2011,3824828563521.41,3.75796886586348,2.07517283735874,83.2221296232272,,6.25886646333735,78.4073134605377,0.718413898653317,5.967,,27.7640375426249
DEU,2010,3468154343000.01,4.14676754532437,1.1038103778926,86.7438437956316,,5.77101102573256,73.8626407651201,0.754308990105961,7.043,,27.4382086037782
