iso,year,gdp_current_usd,gdp_growth_annual,inflation_annual_cpi,credit_private_gdp,broad_money_gdp,current_account_gdp,trade_percent_gdp,exchange_rate_usd,unemployment_rate,gov_debt_percent_gdp,gov_revenue_percent_gdp
DEU,1998,2247760364565.97,2.0961614080931,0.911183535014403,,,-0.474729135736975,50.1554657792327,1.7596676,9.787,,29.4784182444828
DEU,1997,2218790886532.82,1.85481726690071,1.93937198922729,,,-0.355877126875177,48.380321068738,1.73405583333333,9.861,,29.7474049146494
DEU,1996,2506576553158.31,1.03815581051028,1.44972701963239,,,-0.492213210288902,43.903586095325,1.50477416666667,8.822,,29.7307835898287
DEU,1995,2593053091306.13,1.50540577704177,1.70616041317076,,,-1.06756701779392,42.6061486475818,1.4331325,8.158,,29.9648408099246
DEU,1994,2215282632276.73,2.59758496353371,2.69305639854954,,,-1.32150809446365,41.0957443335763,1.62279416666667,8.727,,30.0092490832526
DEU,1993,2078954217437.6,-0.973303691727239,4.47457650752808,,,-0.778190690626525,39.7493939704326,1.65332083333333,7.675,,29.3767284646113
DEU,1992,2141377582968.07,2.01418425526269,5.05697796731731,,,-0.983554177100672,44.6840440028306,1.56165,6.323,,29.3997859511431
DEU,1991,1875792575132.59,5.10826148664229,4.04703259753466,,,-1.19301223274731,47.6354131979568,1.65954166666667,5.316,,28.4717989959852
DEU,1990,1778162195860.07,5.2550061182715,2.69646824292392,,,2.61258287267843,45.6889546847935,1.61573333333333,,20.8541847518408,24.3202523113232
DEU,1989,1404092925205.45,3.8965517182949,2.78056955569751,,,4.06331329481203,45.0439093136764,1.88004166666667,,,24.8142877404049
DEU,1988,1406367016371.53,3.70723564728077,1.27411894006923,,,3.83691174148044,42.3646595340436,1.756225,,,24.4815622042654
DEU,1987,1302932318824.81,1.40215158811831,0.24990610870503,,,3.39361607761235,41.5307858013658,1.79739166666667,,,25.1325774241833
DEU,1986,1050092624515.9,2.28733924937406,-0.129413360854742,,,3.68171870800605,42.7811833269648,2.17148333308333,,,25.098920780975
DEU,1985,735218723093.277,2.32793525636606,2.0662330121658,,,2.44744196854692,47.7335836710439,2.9439666665,,,25.4613049899496
DEU,1984,727767760978.627,2.82294784678957,2.4057933993196,,,1.26588966888944,46.0675396820961,2.84594166616667,,,25.2996509728144
DEU,1983,773507930294.906,1.57241011460876,3.29341474302854,,,0.561957175499551,43.4106902096364,2.55325833241667,,,24.8396768328426
DEU,1982,779421633755.138,-0.394840769727494,5.24104507228422,,,0.707177361289587,44.2197597003201,2.42659166575,,,25.2598259717015
DEU,1981,803404797057.551,0.529240549882346,6.34424277746325,,,-0.660279054435674,44.0162662404343,2.25999999908333,,,24.748522264251
DEU,1980,953772499462.019,1.40882867915093,5.44105754460347,,,-1.64142670824601,41.6963442221306,1.81766666583333,,,24.4082309460076
DEU,1979,884574218333.155,4.15036330228932,4.04362006473399,,,-0.608955465758091,39.0764801078976,1.8328833325,,,23.0975391603978
DEU,1978,743182891918.208,3.00849291171291,2.71869696123339,,,1.24840951315622,37.0396689635279,2.00862499916667,,,23.3536650980029
DEU,1977,602698323085.993,3.34721807926573,3.73416240635147,,,0.647866403184257,37.9596069317502,2.32218333241667,,,23.2844590814711
DEU,1976,521658712132.981,4.94925840180156,4.24663102299209,,,0.718109747836375,38.2248036597616,2.51799999908333,,,22.8305528988921
DEU,1975,492434094920.105,-0.866738925171546,5.91033626324104,,,0.629007055413315,35.770694065614,2.46029166608333,,,22.3490553010983
DEU,1974,446934971657.471,0.890068743439954,6.98643109327497,,,2.03272304257914,36.8123365227823,2.587749999,,,22.3386623860926
DEU,1973,399833571167.215,4.77748692347937,7.03202399303898,,,1.04564676592662,31.5828194707613,2.67259999908333,,,22.49085996432
DEU,1972,300899944795.436,4.30034129666814,5.4849331221432,,,0.112907022442969,30.6162474270584,3.18864166566667,,,21.4665446036634
DEU,1971,250900942396.699,3.13269976370883,5.24097448273094,,,0.0424787980358958,30.7269071881612,3.50739351008637,,,
DEU,1970,216629229947.096,5.10314454468531,3.45024936360895,,,,31.5904531520063,3.66000000266,,,
DEU,1969,177733486326.06,7.41810275269859,1.91267848797596,,,,,3.94333333594333,,,
DEU,1968,156527292653.157,5.6687730597093,1.470289313277,,,,,4.000000003,,,
DEU,1967,145100667772.69,-0.330256485487851,1.79604992213175,,,,,4.000000003,,,
DEU,1966,143304275683.979,2.81218127523948,3.53306035477689,,,,,4.000000003,,,
DEU,1965,134774688191.161,5.24416405342649,3.24231923668133,,,,,4.000000003,,,
DEU,1964,123330404665.086,6.63946990966846,2.33573581177832,,,,,4.000000003,,,
DEU,1963,112232503744.1,2.73529640413565,2.9669597758771,,,,,4.000000003,,,
DEU,1962,105895435234.343,4.62347095715671,2.84327019799062,,,,,4.000000003,,,
DEU,1961,96558204043.1028,4.29843956416367,2.29369500700884,,,,,4.03333333636667,,,
DEU,1960,84619845881.2608,,1.53661234295201,,,,,4.2000000032,,,
USA,2023,27720709000000.0,2.88755600906016,4.11633838374488,191.979034742,99.1279171145421,-3.26607086420481,24.8993631439946,1.0,3.638,114.877162773867,17.1664700206622
USA,2022,26006893000000.0,2.51237531983308,8.00279982052121,187.583603870675,103.816116764807,-3.8916721040072,26.891689830077,1.0,3.65,112.889632760053,19.3678933504283
USA,2021,23681171000000.0,6.05505293304576,4.69785886363742,220.315638285722,114.980934430191,-3.66529172058257,25.2136560307765,1.0,5.349,118.450755665757,18.6600206552286
USA,2020,21354105000000.0,-2.16302913866514,1.23358439630629,218.335612440746,109.117417208557,-2.81541652061746,23.0797778694073,1.0,8.055,124.550890800621,17.7463972383764
USA,2019,21539982000000.0,2.58382533018855,1.81221007526021,194.735258917444,92.3005594054721,-2.05082808332895,26.2584806245428,1.0,3.669,100.032349144953,17.2908473182568
USA,2018,20656516000000.0,2.96650506916633,2.44258329692817,183.054001756212,88.7964841162556,-2.12935714812701,27.4453591302618,1.0,3.896,98.4494626296129,17.4793585714067
USA,2017,19612102000000.0,2.45762230322211,2.13011000365961,194.090996653847,89.9017920480885,-1.87442427129943,27.1253382222874,1.0,4.355,97.0213034788418,19.2095273622379
USA,2016,18804913000000.0,1.81945147474293,1.26158320570536,186.327051044306,89.4647151888467,-2.10699725119707,26.4525977865465,1.0,4.869,97.9285891936857,18.540821220497
USA,2015,18295019000000.0,2.94555045455233,0.118627135552451,183.632163440252,88.549501953734,-2.2325584903738,27.6882139340768,1.0,5.28,95.9558008657985,18.9953587913738
USA,2014,17608138000000.0,2.52381981441982,1.62222297740817,184.794021331949,89.2001588850565,-2.10117617206317,29.906569337428,1.0,6.168,95.4538236808457,18.8588452680232
USA,2013,16880683000000.0,2.11783009919849,1.46483265562717,184.162921715823,88.4631681340767,-2.01090797096302,29.9413062848227,1.0,7.375,95.322114632447,18.7407120908556
USA,2012,16253970000000.0,2.28911338767897,2.06933726526067,175.443843579456,87.9168524173424,-2.57236847367136,30.681839575193,1.0,8.069,93.6488624010011,16.7477397829576
USA,2011,15599732000000.0,1.56440685438301,3.156841568622,174.474559125538,87.3236637727481,-2.91862065322661,30.842478575914,1.0,8.949,89.5463716940778,16.6294350441405
USA,2010,15048971000000.0,2.6951925838264,1.6400434423899,181.920666527452,84.8487824908966,-2.87064145448882,28.2198829408336,1.0,9.633,84.9639420529151,16.4034431324241
USA,2009,14478067000000.0,-2.57650023426996,-0.355546266299747,187.479963222695,90.6906840737303,-2.62283632200348,24.759527635837,1.0,9.254,75.8415954284505,15.6666480407916
USA,2008,14769862000000.0,0.113587248258867,3.839100296651,185.125593254636,84.2543810723865,-4.71585990444596,29.8677875257061,1.0,5.784,63.814672066672,17.7131499265193
USA,2007,14474228000000.0,2.00385829825838,2.85267248150138,206.35133732187,79.4778659454736,-5.08872735734161,28.0120155631098,1.0,4.622,55.6594728230065,18.6567829386134
USA,2006,13815583000000.0,2.78453963938148,3.22594410070404,198.283902773609,74.5361185496312,-5.91102091022869,26.9752858058903,1.0,4.623,55.4668811298083,18.6287129540606
